PRIMA_PAGINA	ANNOTATOR	TYPE	ID
IMG1293	ANNOTATOR03	area of interest	clnhyc0t900022v6o273ljyt1
IMG1293	ANNOTATOR03	area of interest	clnhycpa500072v6o0a6xozry
IMG1293	ANNOTATOR03	testo	clnhyd6ug000d2v6ou6ahwmbh
IMG1293	ANNOTATOR03	testo	clnhydnqx000k2v6oqwfy4m4b
IMG1293	ANNOTATOR03	testo	clnhydvsh000r2v6oigfgcu5r
IMG1293	ANNOTATOR03	immagine	clnhye6md000y2v6oqze7bprk
IMG1293	ANNOTATOR03	partecipante	clnhygqen001d2v6o83850ed8
IMG1293	ANNOTATOR03	partecipante	clnhyhdil001i2v6o33hwz8rt
IMG1293	ANNOTATOR03	contained	clnhyhsa9001o2v6onmysdshs
IMG1293	ANNOTATOR03	testo	clnhyifou001s2v6o8d9x7udj
IMG1293	ANNOTATOR03	connected metaphor	clnhyjayw00242v6o9hz514t3
IMG1293	ANNOTATOR03	contained	clnsoz4dz00043b6o3tgi8ury
IMG1293	ANNOTATOR03	contained	clnsoz71900063b6o11nwjxmt
IMG1293	ANNOTATOR03	contained	clnsoz8kl00083b6o913rxqy2
IMG1293	ANNOTATOR02	area of interest	clnvhyd9y00013b6o4idrrc44
IMG1293	ANNOTATOR02	testo	clnvhzdzp00093b6oojyly03c
IMG1293	ANNOTATOR02	immagine	clnvi053k000l3b6oh6320536
IMG1293	ANNOTATOR02	partecipante	clnvi6h0y00123b6oxpqc1fq7
IMG1293	ANNOTATOR02	connected metaphor	clnvib85b001f3b6o8srgpei9
IMG1293	ANNOTATOR02	area of interest	clnxrla0s00013b6odyuo4fyg
IMG1293	ANNOTATOR02	testo	clnxrlrx100093b6ogdm0g08q
IMG1293	ANNOTATOR02	area of interest	clnxsejqe003e3b6oz4oza2yo
IMG1293	ANNOTATOR02	testo	clnxsfjln003m3b6ofa5sfb0x
IMG1293	ANNOTATOR02	contained	clnyeh40b00023b6oswt5jcvf
IMG1293	ANNOTATOR02	contained	clnyeh8k800043b6ofkykvhrm
IMG1293	ANNOTATOR02	contained	clnyehj1700083b6o2mnyr61d
IMG1293	ANNOTATOR02	contained	clnyehmib000a3b6oqrdqbmuj
IMG1293	ANNOTATOR02	contained	clnyehphc000c3b6o2gmpslqp
IMG1293	ANNOTATOR01	area of interest	clnx1t0500027356o702r15fg
IMG1293	ANNOTATOR01	area of interest	clnx32qh9002m356osbrb78bs
IMG1293	ANNOTATOR01	testo	clnx34nbm0030356o0dcqczkz
IMG1293	ANNOTATOR01	testo	clnx35a6j0037356od3kdl9ys
IMG1293	ANNOTATOR01	testo	clnx35p5c003e356o26ceh8jp
IMG1293	ANNOTATOR01	immagine	clnx363r9003l356o8oc7wxvd
IMG1293	ANNOTATOR01	partecipante	clnx36ypb003u356orrec1oac
IMG1293	ANNOTATOR01	partecipante	clnx3ao4m0043356onqzyl27v
IMG1293	ANNOTATOR01	connected metaphor	clnx3dnki004f356oj8pwbuet
IMG1293	ANNOTATOR01	contained	clnyeilrd000e3b6otxw25p5j
IMG1293	ANNOTATOR01	contained	clnyeix8z000g3b6ozxgdc0gq
IMG1293	ANNOTATOR01	contained	clnyeiztn000i3b6oaxrdyjvn
IMG1293	ANNOTATOR01	contained	clnyejflm000m3b6oogz7qabd
IMG1293	ANNOTATOR01	contained	clnyejhmf000o3b6o6zcwvbuc
IMG1293	ANNOTATOR01	contained	clnyejjpf000q3b6oq92sxb7p
IMG4675	ANNOTATOR03	area of interest	clnhzdecl02ps07io1rg10ee4
IMG4675	ANNOTATOR03	testo	clnhzdecl02pt07iofwffbuts
IMG4675	ANNOTATOR03	testo	clnhzdecl02px07ioc3koaxbe
IMG4675	ANNOTATOR03	testo	clnhzdecl02q307io9nhm8y68
IMG7895	ANNOTATOR03	area of interest	clnj1lcpi001d2v6o4bwmzb25
IMG7895	ANNOTATOR03	testo	clnj1lr4f001j2v6oqtj1nesf
IMG7895	ANNOTATOR03	testo	clnj1lykx001q2v6ot3n6jvvx
IMG7895	ANNOTATOR03	area of interest	clnj1nfgj001z2v6o409nbdz6
IMG7895	ANNOTATOR03	testo	clnj1ntnk00252v6oduswsvot
IMG7895	ANNOTATOR03	testo	clnj1o0kk002c2v6orpik2gax
IMG7895	ANNOTATOR03	immagine	clnj1oaff002j2v6oqy0qijny
IMG7895	ANNOTATOR03	contained	clnj1ou0m002t2v6obps12kxn
IMG7895	ANNOTATOR03	partecipante	clnj1oyth002u2v6onovs9k07
IMG7895	ANNOTATOR03	partecipante	clnj1qe3700332v6olaz7kdjy
IMG7895	ANNOTATOR03	contained	clnsp61nh001s3b6otayhqk8x
IMG7895	ANNOTATOR03	contained	clnsp64g0001u3b6oujocc0ja
IMG7895	ANNOTATOR03	contained	clnsp6cv0001y3b6ohu3os3cd
IMG7895	ANNOTATOR03	contained	clnsp6g1000203b6o64qpotox
IMG7895	ANNOTATOR03	contained	clnwxcf01000b3b6oi1v7q5le
IMG7895	ANNOTATOR03	contained	clnwxciam000d3b6owb71yqsl
IMG8654	ANNOTATOR03	area of interest	clnohug5r00jd356myxhma8hp
IMG8654	ANNOTATOR03	testo	clnohvv7b00jl356m3cxzysfe
IMG8654	ANNOTATOR03	testo	clnohw48400js356mviekpyo0
IMG8654	ANNOTATOR03	testo	clnohwcrk00jz356m3sr505cb
IMG8654	ANNOTATOR03	testo	clnohwots00k6356m1sq0ccxy
IMG8654	ANNOTATOR03	immagine	clnohwz8v00ke356mkxdpcpyj
IMG8654	ANNOTATOR03	contained	clnohxd1a00ko356m8pjzpbab
IMG8654	ANNOTATOR03	partecipante	clnohxhh100kp356mozmdw22z
IMG8654	ANNOTATOR03	contained	clnohz2bs00l2356myscd8ug8
IMG8654	ANNOTATOR02	area of interest	clnvowtg2009s3b6okyrwwzed
IMG8654	ANNOTATOR02	testo	clnvoy2ps00a03b6onbt8uglu
IMG8654	ANNOTATOR02	immagine	clnvp2fph00af3b6ovizu9sxv
IMG8654	ANNOTATOR02	partecipante	clnvp5kbg00ax3b6oeyvg9slp
IMG8654	ANNOTATOR02	connected metaphor	clnvpb3vb00br3b6oly2ddt8g
IMG8654	ANNOTATOR02	area of interest	clnxs2lod001o3b6oxgaz8ont
IMG8654	ANNOTATOR02	testo	clnxs33m9001w3b6os3tg37v1
IMG8654	ANNOTATOR02	area of interest	clnxs9yxs002e3b6oqa4c22x2
IMG8654	ANNOTATOR02	immagine	clnxsadzz002m3b6oh0p5ijqw
IMG8654	ANNOTATOR02	partecipante	clnxsbcad00303b6oq62wapyn
IMG8654	ANNOTATOR02	contained	clnyeo3p6001p3b6oku227a0r
IMG8654	ANNOTATOR02	contained	clnyeo67x001r3b6og48d7sck
IMG8654	ANNOTATOR02	contained	clnyeo9sr001t3b6om5xmkews
IMG8654	ANNOTATOR02	contained	clnyeoca6001v3b6o9evz2uo0
IMG8654	ANNOTATOR02	contained	clnyeogd1001x3b6oxqp71oe3
IMG8654	ANNOTATOR02	contained	clnyfam9l00023b6o6ep4l8ms
IMG8654	ANNOTATOR01	area of interest	clnx8sngy0032356otrt47ilz
IMG8654	ANNOTATOR01	testo	clnx8tcnn003a356ont7q7wty
IMG8654	ANNOTATOR01	testo	clnx8ua9a003l356o26oo3pdi
IMG8654	ANNOTATOR01	testo	clnx8x4gj0041356oaakem66v
IMG8654	ANNOTATOR01	immagine	clnx92wdp004c356o3j8argjx
IMG8654	ANNOTATOR01	partecipante	clnx96tlx004s356oiumptdnd
IMG8654	ANNOTATOR01	connected metaphor	clnx98uts0052356o5oh00i26
IMG1462	ANNOTATOR03	area of interest	clnsq38m400d33b6ocvpczqyt
IMG1462	ANNOTATOR03	testo	clnsq3r4e00db3b6oiml5bt6c
IMG1462	ANNOTATOR03	testo	clnsq3xk200di3b6o4egppj62
IMG1462	ANNOTATOR03	immagine	clnsq447200dp3b6ouwmfhn5l
IMG1462	ANNOTATOR03	testo	clnsq4mgi00dz3b6oesk6u0ru
IMG1462	ANNOTATOR03	partecipante	clnsq4ueb00e53b6oovyrt3wn
IMG1462	ANNOTATOR01	area of interest	clnxa24w20090356o6lcpzyul
IMG1462	ANNOTATOR01	testo	clnxa5qm3009f356o61n47u48
IMG1462	ANNOTATOR01	testo	clnxa7a42009z356os6d9w6l1
IMG1462	ANNOTATOR01	immagine	clnxaa17v00ad356oefybbqr2
IMG1462	ANNOTATOR01	partecipante	clnxab4jy00at356ooqlqd4cp
IMG1462	ANNOTATOR02	area of interest	clnxpdes8003q3b6o3j9inw0y
IMG1462	ANNOTATOR02	testo	clnxpdy1u003y3b6o30h10yjw
IMG1462	ANNOTATOR02	testo	clnxpgj0w004f3b6o0qgy11wt
IMG1462	ANNOTATOR02	immagine	clnxpi1kc004w3b6oq71ty2cf
IMG1462	ANNOTATOR02	partecipante	clnxpj7wf005f3b6op8cmws19
IMG7563	ANNOTATOR03	area of interest	clnt8b3xl004h2v6o8m21ncww
IMG7563	ANNOTATOR03	testo	clnt8bnfz004p2v6orregh645
IMG7563	ANNOTATOR03	testo	clnt8bu0c004w2v6oxurw33ko
IMG7563	ANNOTATOR03	testo	clnt8c3zv00532v6onurz2lmz
IMG7563	ANNOTATOR03	testo	clnt8cay1005a2v6obzhot5iy
IMG7563	ANNOTATOR03	area of interest	clnt8cins005g2v6ooagq1vxl
IMG7563	ANNOTATOR03	testo	clnt8cy1p005o2v6omenppdoh
IMG7563	ANNOTATOR03	immagine	clnt8d4si005v2v6omp2v7cjw
IMG7563	ANNOTATOR03	partecipante	clnt8dd7p00632v6o3kjsfv6t
IMG7563	ANNOTATOR03	contained	clnt8eggw006b2v6ohiwuo432
IMG7563	ANNOTATOR03	contained	clnt8ejd7006d2v6o1rvl8czg
IMG7563	ANNOTATOR03	contained	clnt8emwk006f2v6onkujxt2h
IMG7563	ANNOTATOR03	contained	clnt8er5a006h2v6ocvmvd546
IMG7563	ANNOTATOR03	contained	clnt8evxs006j2v6osrfnzi4n
IMG7563	ANNOTATOR03	contained	clnt8ezie006l2v6og5st46da
IMG7563	ANNOTATOR03	contained	clnt8f3j6006n2v6ogqu5eb3s
IMG1918	ANNOTATOR03	area of interest	clnt9iyyw006h2v6oxluvbfer
IMG1918	ANNOTATOR03	testo	clnt9ozrp006p2v6ol6o3mfyw
IMG1918	ANNOTATOR03	testo	clnt9sw9x00732v6ovadcntkw
IMG1918	ANNOTATOR03	immagine	clnt9t81g007a2v6ow4ibqk8c
IMG1918	ANNOTATOR03	testo	clnt9u6nq007j2v6owgial84e
IMG1918	ANNOTATOR03	partecipante	clnt9us7a007p2v6og7lakouh
IMG1918	ANNOTATOR02	area of interest	clnxplkhl005o3b6oc8gulw25
IMG1918	ANNOTATOR02	testo	clnxpm3c4005w3b6ogouthd4b
IMG1918	ANNOTATOR02	testo	clnxpnm6g006e3b6o1ro736jb
IMG1918	ANNOTATOR02	immagine	clnxpprsq006y3b6oieyd7mlo
IMG1918	ANNOTATOR02	partecipante	clnxpqyra007f3b6o1jqy877s
IMG1918	ANNOTATOR02	partecipante	clnxpspwo007o3b6oukz7stlu
IMG1918	ANNOTATOR01	area of interest	clnxq20a00074356obd32hi1m
IMG1918	ANNOTATOR01	testo	clnxq2hsf007c356o4n2ytf25
IMG1918	ANNOTATOR01	testo	clnxq3bjv007r356o2e2v41kz
IMG1918	ANNOTATOR01	immagine	clnxq5ods0086356olj2ajruj
IMG1918	ANNOTATOR01	partecipante	clnxq7geh008m356o6kiau80v
IMG1918	ANNOTATOR01	partecipante	clnxq9585008v356oygj8wy35
